"id_area","country","correlation"
122,"Micronesia (Federated States of)","-0.8481808862144765"
86,"Hungary","-0.7143049690140202"
169,"Singapore","-0.6373475853380896"
175,"South Sudan","-0.6295152302656778"
133,"New Zealand","-0.6163557556552895"
165,"Serbia","-0.5978944969173565"
110,"Luxembourg","-0.5844902206965694"
46,"Croatia","-0.5797783605295949"
74,"Georgia","-0.4269260554498772"
25,"Bulgaria","-0.38420763241828404"
43,"Cook Islands","-0.3496035493853308"
87,"Iceland","-0.30247177416736076"
158,"Saint Kitts and Nevis","-0.3008875625184625"
75,"Germany","-0.27186175068654467"
94,"Italy","-0.2663044839101551"
118,"Martinique","-0.2563031432577981"
153,"Republic of Moldova","-0.24452610696829144"
137,"Niue","-0.2123458643344841"
235,"Australia and New Zealand","-0.1617607427901966"
168,"Sierra Leone","-0.12511740106792116"
142,"Palestine","-0.10967352384136718"
230,"Eastern Europe","-0.10630782195990028"
106,"Lesotho","-0.08425523904443634"
171,"Slovenia","-0.046325394159981735"
8,"Austria","-0.007499433596625899"
32,"Central African Republic","-0.004829723234711957"
116,"Malta","0.005643498604684449"
104,"Latvia","0.008152395599536186"
234,"Oceania","0.02566533155664725"
82,"Guinea-Bissau","0.03579466496676547"
53,"Denmark","0.07420567044772512"
229,"Europe","0.11401803669421513"
7,"Australia","0.127180144915756"
155,"Romania","0.1286400788288972"
62,"Estonia","0.1357524280843054"
15,"Belgium","0.14403171641278745"
170,"Slovakia","0.18529039009586887"
67,"Fiji","0.19699669978649686"
196,"Ukraine","0.23880264641015758"
148,"Poland","0.2421807957268352"
173,"Somalia","0.2516948811050821"
77,"Greece","0.2743627423379939"
19,"Bhutan","0.27734141078791524"
61,"Eritrea","0.28066208799373354"
181,"Sweden","0.2969961559503709"
172,"Solomon Islands","0.3609076867022429"
68,"Finland","0.3755178063802859"
167,"Seychelles","0.38595020543387704"
50,"Czechoslovakia","0.393054702625463"
91,"Iraq","0.41073282337073336"
66,"Faroe Islands","0.411777773718056"
182,"Switzerland","0.4119932209505169"
208,"Yugoslav SFR","0.4279528493860572"
51,"Democratic People's Republic of Korea","0.44185934506196034"
76,"Ghana","0.44756111497141393"
9,"Azerbaijan","0.46679602878177245"
96,"Japan","0.47229046724759993"
202,"USSR","0.4843426720091665"
27,"Burundi","0.4891169130723854"
48,"Cyprus","0.49763963820955665"
180,"Suriname","0.5004729081794601"
161,"Samoa","0.5047404519966942"
45,"Côte d'Ivoire","0.519222934295573"
72,"Gabon","0.5229195455906398"
6,"Armenia","0.5319000733800637"
22,"Botswana","0.5423514318842011"
79,"Guadeloupe","0.5726110746191249"
138,"North Macedonia","0.5754327171495148"
201,"Uruguay","0.5848930031023026"
149,"Portugal","0.5852325455159956"
65,"Ethiopia PDR","0.5886091127038859"
111,"Madagascar","0.5915746635432225"
95,"Jamaica","0.5983376098434218"
18,"Benin","0.5985336446696025"
162,"Sao Tome and Principe","0.6089745047935319"
127,"Myanmar","0.6182461491580129"
124,"Montenegro","0.6311613972083311"
128,"Namibia","0.6335247827351206"
101,"Kuwait","0.6358524720173195"
160,"Saint Vincent and the Grenadines","0.6672117916669363"
232,"Southern Europe","0.6697370408225076"
70,"French Guiana","0.6717568001072943"
139,"Norway","0.6744812322668401"
52,"Democratic Republic of the Congo","0.6746774584309245"
0,"Afghanistan","0.6771505187150811"
44,"Costa Rica","0.6782820285838779"
109,"Lithuania","0.6788936742184771"
188,"Tokelau","0.6801375222370354"
176,"Spain","0.680533179378112"
239,"European Union (27)","0.6822667524238205"
233,"Western Europe","0.6898403315242229"
84,"Haiti","0.692317218214785"
210,"Zimbabwe","0.6970073193932896"
28,"Cabo Verde","0.6974643284657119"
92,"Ireland","0.7002771123757925"
3,"Angola","0.7069436138062815"
187,"Togo","0.7078137754736323"
55,"Dominica","0.7120780889536145"
73,"Gambia","0.7156432944498571"
89,"Indonesia","0.723510846324179"
23,"Brazil","0.7326293443654952"
34,"Chile","0.738970581130418"
186,"Timor-Leste","0.7414836271554939"
189,"Tonga","0.7456457854761251"
102,"Kyrgyzstan","0.7536513290490681"
131,"Netherlands (Kingdom of the)","0.754509788834489"
198,"United Kingdom of Great Britain and Northern Ireland","0.7578668870340532"
177,"Sri Lanka","0.7622502761392891"
129,"Nauru","0.765334488915326"
200,"United States of America","0.7654748945538515"
157,"Rwanda","0.7744430679291783"
49,"Czechia","0.7753815493965938"
21,"Bosnia and Herzegovina","0.7795284714618287"
47,"Cuba","0.783627105189228"
107,"Liberia","0.7885777498071742"
20,"Bolivia (Plurinational State of)","0.7888200173499681"
1,"Albania","0.789408729644643"
30,"Cameroon","0.7949244014032436"
71,"French Polynesia","0.7980800850320319"
219,"Northern America","0.7996634192417659"
204,"Vanuatu","0.8008685918388005"
29,"Cambodia","0.801649032774289"
69,"France","0.8028482397814156"
113,"Malaysia","0.8043335577081929"
156,"Russian Federation","0.809200369461851"
24,"Brunei Darussalam","0.8101207700970319"
93,"Israel","0.8103834415841702"
37,"China, Macao SAR","0.8125088418707589"
150,"Puerto Rico","0.8129033795790378"
57,"Ecuador","0.8168632506376308"
13,"Barbados","0.8184726712031856"
203,"Uzbekistan","0.8198045688421223"
231,"Northern Europe","0.82055740389812"
17,"Belize","0.8220071151528172"
14,"Belarus","0.8242758438516014"
222,"South America","0.825707449447157"
98,"Kazakhstan","0.8259492729980262"
145,"Paraguay","0.8272346362900801"
205,"Venezuela (Bolivarian Republic of)","0.8298948733621179"
5,"Argentina","0.8305946917435779"
123,"Mongolia","0.8310781228398307"
134,"Nicaragua","0.8313270419946703"
59,"El Salvador","0.8336819992968831"
227,"South-eastern Asia","0.8396060994661655"
164,"Senegal","0.8493448974553759"
218,"Americas","0.8515737764940938"
63,"Eswatini","0.852667869384775"
16,"Belgium-Luxembourg","0.8575809007087869"
217,"Western Africa","0.8589305882442522"
39,"China, Taiwan Province of","0.8595331253742984"
151,"Qatar","0.8602476082746"
42,"Congo","0.862252710431132"
78,"Grenada","0.8628496544134255"
10,"Bahamas","0.8637904105595715"
143,"Panama","0.8671841333353941"
81,"Guinea","0.867592166163509"
126,"Mozambique","0.8683684287458668"
103,"Lao People's Democratic Republic","0.8693178861689275"
132,"New Caledonia","0.8727300274038533"
36,"China, Hong Kong SAR","0.8750928382551949"
166,"Serbia and Montenegro","0.8813554553781972"
130,"Nepal","0.8818430919121575"
40,"Colombia","0.881966056439364"
54,"Djibouti","0.8857304942597638"
236,"Melanesia","0.8857524794996522"
183,"Syrian Arab Republic","0.887291121269136"
159,"Saint Lucia","0.8875674792649956"
199,"United Republic of Tanzania","0.8889330829982507"
136,"Nigeria","0.8900392175851464"
108,"Libya","0.8913487915891299"
41,"Comoros","0.8916936640365853"
146,"Peru","0.8976772389842889"
85,"Honduras","0.90015822775537"
80,"Guatemala","0.9010409358202442"
213,"Eastern Africa","0.9022669513573198"
244,"Net Food Importing Developing Countries","0.9035761749096707"
209,"Zambia","0.9037175121043981"
240,"Least Developed Countries","0.9064102583580534"
121,"Mexico","0.9079960704939639"
112,"Malawi","0.9109133532260282"
243,"Low Income Food Deficit Countries","0.9120014247811048"
242,"Small Island Developing States","0.9121095803386912"
100,"Kiribati","0.9125115467893615"
237,"Micronesia","0.91419288021813"
220,"Central America","0.9146420193125456"
99,"Kenya","0.9150699157127806"
141,"Pakistan","0.9158716830491178"
11,"Bahrain","0.9159193888999501"
58,"Egypt","0.9163853610308216"
221,"Caribbean","0.9173846489232895"
214,"Middle Africa","0.9179317386136043"
211,"World","0.9190068074758607"
105,"Lebanon","0.9231163896540541"
97,"Jordan","0.9240878095960033"
238,"Polynesia","0.9247758823713154"
144,"Papua New Guinea","0.9261784205428618"
212,"Africa","0.9263308164364267"
195,"Uganda","0.9284277613913915"
83,"Guyana","0.929119425251465"
115,"Mali","0.9301775588087728"
178,"Sudan","0.9306871180922399"
224,"Central Asia","0.9307947174774692"
60,"Equatorial Guinea","0.9312118075291423"
56,"Dominican Republic","0.9312870995968673"
191,"Tunisia","0.9324111980265454"
64,"Ethiopia","0.9376404932511234"
207,"Yemen","0.9378361672809599"
135,"Niger","0.9388262843242169"
31,"Canada","0.9397304057879515"
12,"Bangladesh","0.9402797923148397"
26,"Burkina Faso","0.94572568313303"
4,"Antigua and Barbuda","0.9464813582903203"
90,"Iran (Islamic Republic of)","0.9475305724526715"
190,"Trinidad and Tobago","0.9503469833577635"
241,"Land Locked Developing Countries","0.9510013972293555"
2,"Algeria","0.9539016690486284"
184,"Tajikistan","0.9548203960554373"
226,"Southern Asia","0.955044180116147"
179,"Sudan (former)","0.9551482360659764"
192,"Türkiye","0.9573975800664765"
215,"Northern Africa","0.9576924904203159"
163,"Saudi Arabia","0.9586296395849953"
119,"Mauritania","0.9612090204458668"
216,"Southern Africa","0.9618700157162837"
194,"Tuvalu","0.9622778905295246"
174,"South Africa","0.9626633589034582"
152,"Republic of Korea","0.9631020947593467"
147,"Philippines","0.9636789588319029"
38,"China, mainland","0.9644191760282695"
35,"China","0.9648554479780519"
228,"Western Asia","0.9664650041362686"
88,"India","0.9685507670833882"
140,"Oman","0.9703005044027025"
154,"Réunion","0.9721517107865486"
225,"Eastern Asia","0.9725725911769115"
185,"Thailand","0.9746982248823903"
33,"Chad","0.9766470256520218"
223,"Asia","0.9780299383718113"
